seed,trial,correct,action
42,1,true,2
42,2,true,1
42,3,false,2
42,4,false,1
42,5,true,1
42,6,true,2
42,7,false,1
42,8,true,2
42,9,true,2
42,10,true,2
42,11,false,1
42,12,true,2
42,13,false,2
42,14,true,2
42,15,true,1
42,16,true,1
42,17,true,1
42,18,true,1
42,19,false,2
42,20,true,2
42,21,true,1
42,22,true,1
42,23,false,2
42,24,true,2
42,25,false,2
42,26,true,1
42,27,true,1
42,28,true,1
42,29,false,1
42,30,false,2
42,31,true,2
42,32,true,1
42,33,true,2
42,34,false,1
42,35,true,2
42,36,true,1
42,37,true,1
42,38,false,2
42,39,true,2
42,40,true,1
42,41,false,1
42,42,true,1
42,43,false,2
42,44,true,2
42,45,true,1
42,46,false,2
42,47,true,1
42,48,true,2
42,49,false,1
42,50,false,1
42,51,false,2
42,52,true,1
42,53,true,2
42,54,true,2
42,55,true,2
42,56,true,2
42,57,false,2
42,58,false,2
42,59,false,2
42,60,true,1
42,61,false,1
42,62,true,2
42,63,false,1
42,64,true,1
42,65,true,1
42,66,false,1
42,67,true,1
42,68,false,1
42,69,false,1
42,70,true,1
42,71,true,1
42,72,false,1
42,73,false,1
42,74,true,1
42,75,false,2
42,76,false,1
42,77,false,2
42,78,false,2
42,79,true,1
42,80,true,1
42,81,false,1
42,82,true,1
42,83,true,1
42,84,false,1
42,85,true,2
42,86,true,1
42,87,true,1
42,88,true,1
42,89,false,1
42,90,true,1
42,91,false,1
42,92,true,1
42,93,false,1
42,94,true,2
42,95,true,1
42,96,true,2
42,97,false,1
42,98,true,2
42,99,true,1
42,100,true,1
42,101,true,2
42,102,false,1
42,103,true,1
42,104,true,1
42,105,true,2
42,106,false,1
42,107,true,1
42,108,true,1
42,109,true,1
42,110,false,2
42,111,true,1
42,112,true,1
42,113,true,1
42,114,false,1
42,115,true,1
42,116,true,1
42,117,true,1
42,118,false,1
42,119,true,2
42,120,false,1
42,121,true,1
42,122,true,2
42,123,true,1
42,124,true,1
42,125,true,2
42,126,true,2
42,127,true,2
42,128,false,1
42,129,false,1
42,130,true,1
42,131,false,2
42,132,true,1
42,133,true,2
42,134,false,1
42,135,false,1
42,136,false,1
42,137,false,1
42,138,true,1
42,139,false,1
42,140,true,1
42,141,true,2
42,142,true,1
42,143,true,2
42,144,true,2
42,145,true,1
42,146,true,2
42,147,true,1
42,148,true,1
42,149,true,1
42,150,true,2
42,151,true,1
42,152,true,2
42,153,true,1
42,154,true,1
42,155,true,2
